Unnamed: 0,Structure,σ(RT)(S cm-1),Ea (eV),space group,ICSD Entry,DOI
769,Li10(Ge0.7Si0.3)P2S12,5.82E-03,0.265,,,
770,Li10(Ge0.6Si0.4)P2S12,5.24E-03,0.28,,,10.1016/j.jpowsour.2014.07.159
771,Li10(Ge0.5Si0.5)P2S12,4.20E-03,0.284,,,10.1016/j.jpowsour.2014.07.159
772,Li10(Ge0.2Si0.8)P2S12,4.81E-03,0.269,,,10.1016/j.jpowsour.2014.07.159
773,Li10(Ge0.95Sn0.05)P2S12,7.80E-03,0.254,,,10.1016/j.jpowsour.2014.07.159
774,Li10(Ge0.9Sn0.1)P2S12,7.53E-03,0.256,,,
775,Li10(Ge0.8Sn0.2)P2S12,7.06E-03,0.252,,,10.1016/j.jpowsour.2014.07.159
776,Li10(Ge0.7Sn0.3)P2S12,6.49E-03,0.254,,,10.1016/j.jpowsour.2014.07.159
777,Li10(Ge0.5Sn0.5)P2S12,6.17E-03,0.249,,,
778,Li10(Ge0.4Sn0.6)P2S12,5.76E-03,0.265,,,10.1016/j.jpowsour.2014.07.159
779,Li10(Ge0.3Sn0.7)P2S12,5.56E-03,0.261,,,
780,Li10(Ge0.2Sn0.8)P2S12,4.77E-03,0.269,,,10.1016/j.jpowsour.2014.07.159
781,0.5(Li2O) * 0.5(P2O5),1.10E-09,0.71,,,10.1016/0167-2738(85)90064-5; 10.1016/0167-2738(85)90064-5
782,0.58(Li2O) * 0.5(P2O5),2.00E-08,0.6,,,10.1016/0167-2738(85)90064-5
783,0.6(Li2O) * 0.5(P2O5),3.00E-08,0.61,,,10.1016/0167-2738(85)90064-5
784,0.63(Li2O) * 0.5(P2O5),1.30E-07,0.56,,,10.1016/0167-2738(85)90064-5; 10.1016/0167-2738(85)90064-5
785,0.66(Li2O) * 0.5(P2O5),2.30E-07,0.55,,,10.1016/0167-2738(85)90064-5; 10.1016/0167-2738(85)90064-5
786,0.7(Li2O) * 0.5(P2O5),3.00E-07,0.57,,,
787,0.2(Li2S) 0.8(GeS2),1.10E-07,0.52,,,10.1016/0167-2738(85)90064-5
788,0.3(Li2S) 0.7(GeS2),9.30E-07,0.48,,,10.1016/0167-2738(85)90064-5; 10.1016/0167-2738(85)90064-5
789,0.4(Li2S) 0.6(GeS2),2.90E-06,0.42,,,
790,0.5(Li2S) 0.5(GeS2),3.30E-05,0.35,,,10.1016/0167-2738(85)90064-5; 10.1016/0167-2738(85)90064-5
791,0.6(Li2S) 0.4(GeS2),9.20E-05,0.32,,,10.1016/0167-2738(85)90064-5
792,0.63(Li2S) 0.37(GeS2),1.50E-04,0.34,,,10.1016/0167-2738(85)90064-5; 10.1016/0167-2738(85)90064-5
793,0.66(Li2S) 0.34(GeS2),1.00E-04,0.37,,,10.1016/0167-2738(85)90064-5; 10.1016/0167-2738(85)90064-5
794,0.7(Li2S) 0.3(GeS2),1.20E-04,0.34,,,10.1016/0167-2738(85)90064-5
795,Li2O-P2O5,1.10E-09,0.71,,,10.1016/0167-2738(85)90064-5; 10.1016/0167-2738(85)90064-5
796,0.58Li2O-0.42P2O5,2.00E-08,0.6,,,10.1016/0167-2738(85)90064-5
797,0.6Li2O-0.4P2O5,3.00E-08,0.61,,,10.1016/0167-2738(85)90064-5
798,0.63Li2O-0.37P2O5,1.30E-07,0.56,,,10.1016/0167-2738(85)90064-5; 10.1016/0167-2738(85)90064-5
799,0.66Li2O-0.34P2O5,2.30E-07,0.55,,,10.1016/0167-2738(85)90064-5; 10.1016/0167-2738(85)90064-5
800,0.7Li2O-0.3P2O5,3.00E-07,0.57,,,
801,0.2Li2S-0.8GeS2,1.10E-07,0.52,,,10.1016/0167-2738(85)90064-5
802,0.3Li2S-0.7GeS2,9.30E-07,0.48,,,10.1016/0167-2738(85)90064-5; 10.1016/0167-2738(85)90064-5
803,0.4Li2S-0.6GeS2,2.90E-06,0.42,,,
804,0.5Li2S-0.5GeS2,3.30E-05,0.35,,,10.1016/0167-2738(85)90064-5; 10.1016/0167-2738(85)90064-5
805,0.6Li2S-0.4GeS2,9.20E-05,0.32,,,10.1016/0167-2738(85)90064-5
806,0.63Li2S-0.37GeS2,1.50E-04,0.34,,,10.1016/0167-2738(85)90064-5; 10.1016/0167-2738(85)90064-5
807,0.66Li2S-0.34GeS2,1.00E-04,0.37,,,10.1016/0167-2738(85)90064-5; 10.1016/0167-2738(85)90064-5
808,0.7Li2S-0.3GeS2,1.20E-04,0.34,,,10.1016/0167-2738(85)90064-5
809,Li6.55La3Zr2Ga0.15O12,1.30E-03,0.3,,,10.1021/cm5008069
810,Li6.40La3Zr2Ga0.2O12,9.00E-04,0.3,,,
811,Li6.10La3Zr2Ga0.25O12,7.00E-05,0.3,,,
812,Li6.8La3Zr1.8Sb0.2O12,5.90E-05,0.39,,,
813,Li6.6La3Zr1.6Sb0.4O12,7.70E-04,0.34,,,10.1039/c3cp50991e
814,Li6.4La3Zr1.4Sb0.6O12,6.60E-04,0.36,,,10.1039/c3cp50991e; 10.1039/c3cp50991e
815,Li6.2La3Zr1.2Sb0.8O12,4.50E-04,0.37,,,10.1039/c3cp50991e; 10.1039/c3cp50991e
816,Li6La3ZrSbO12,2.60E-04,0.38,,,10.1039/c3cp50991e; 10.1039/c3cp50991e
817,Li(In0.62Li1.38)Br3.92,4.90E-06,0.58,,,
818,Li3InBr6,1.77E-04,,,,10.1016/j.ssi.2008.02.012
819,Li3InBr4Cl2,7.58E-06,,,,10.1016/j.ssi.2008.02.012
820,Li3InBr3Cl3,1.14E-04,,,,
821,Li3InBr2.5Cl3.5,3.60E-06,,,,10.1016/j.ssi.2008.02.012
822,Li3InBr2Cl4,6.89E-08,,,,10.1016/j.ssi.2008.02.012
823,Li1.8Mg1.1Cl4,1.52E-06,,,,10.1002/chin.198428014
824,Li1.6Mg1.2Cl4,3.07E-06,,,,
825,Li1.34Mg1.33Cl4,3.07E-06,,,,10.1002/chin.198428014
826,Li1.9Mn1.05Cl4,4.61E-06,,,,10.1002/chin.198428014
827,Li1.72Mn1.14Cl4,3.62E-06,,,,10.1002/chin.198428014
